Abmachung|NN	0.0040	Abmachungen
fördern|VVINF	0.0040	gefördert,förder,förderten,förderst,förderen,fördert,fördere,förderte,fördertet,fördertest
führen|VVINF	0.0040	führtest,führten,führt,führe,führ,führte,führst,führet,führtet,führest,geführt
führend|ADJX	0.0040	führendstem,führendsten,führendst,führende,führenderes,führenderer,führendster,führendstes,führenderem,führendste,führenderen,führender,führendes,führenden,führendere,führendem
füllen|VVINF	0.0040	füllten,füllte,füllest,füllt,fülle,füllst,fülltet,füllet,fülltest,füll,gefüllt
galant|ADJX	0.0040	galanteren,galanterem,galanter,galanterer,galantes,galantestem,galante,galantesten,galanteste,galantest,galantestes,galantester,galantere,galanteres,galanten,galantem
garantiert|ADJX	0.0040	garantierteres,garantierterer,garantiertere,garantierteren,garantierterem,garantiertes,garantierter,garantiertsten,garantiertstem,garantiertster,garantiertem,garantierte,garantiertst,garantiertste,garantiertstes,garantierten
gastfreundlich|ADJX	0.0854	gastfreundlichen,gastfreundlichere,gastfreundlicher,gastfreundliches,gastfreundlichstem,gastfreundlichsten,gastfreundliche,gastfreundlichste,gastfreundlichster,gastfreundlichem,gastfreundlichstes,gastfreundlicheres,gastfreundlicherer,gastfreundlichst,gastfreundlicheren,gastfreundlicherem
gedeihen|VVINF	0.2166
gedeihlich|ADJX	0.0040	gedeihlichere,gedeihlichst,gedeihlicher,gedeihliches,gedeihlichem,gedeihlicheren,gedeihlichen,gedeihliche,gedeihlicherem,gedeihlichster,gedeihlicherer,gedeihlichstes,gedeihlicheres,gedeihlichste,gedeihlichsten,gedeihlichstem
gediegen|ADJX	0.0831	gediegensten,gediegenerem,gediegnere,gediegenstes,gediegenster,gediegeneren,gediegenst,gediegenerer,gediegnerer,gediegeneres,gediegneres,gediegenstem,gediegenere,gediegenste,gediegneren,gediegnerem,gediegene,gediegenem,gediegenen,gediegener,gediegenes,gediegner
geduldig|ADJX	0.3342	geduldigere,geduldigerer,geduldigst,geduldigerem,geduldigeren,geduldigstem,geduldigsten,geduldigste,geduldige,geduldiger,geduldiges,geduldigem,geduldigstes,geduldigen,geduldigster,geduldigeres
geeignet|ADJX	0.0974	geeignetem,geeignete,geeigneten,geeigneter,geeignetes,geeignetste,geeignetere,geeigneterem,geeigneteren,geeignetsten,geeigneterer,geeignetstem,geeigneteres,geeignetstes,geeignetster,geeignetst
gefallen|VVINF	0.2578
gefeiert|ADJX	0.3403	gefeiertest,gefeierterem,gefeierteren,gefeierteres,gefeierterer,gefeiertester,gefeiertestes,gefeierteste,gefeierte,gefeiertes,gefeierter,gefeiertestem,gefeierten,gefeiertere,gefeiertem,gefeiertesten
gefesselt|ADJX	0.0040
gefestigt|ADJX	0.0040	gefestigtstes,gefestigtster,gefestigteren,gefestigterem,gefestigtst,gefestigtsten,gefestigte,gefestigtstem,gefestigten,gefestigtste,gefestigtem,gefestigtes,gefestigter,gefestigterer,gefestigteres,gefestigtere
gefragt|ADJX	0.0040	gefragte,gefragtes,gefragtestes,gefragter,gefragtere,gefragteren,gefragterem,gefragteste,gefragteres,gefragterer,gefragtestem,gefragtesten,gefragtester,gefragten,gefragtem,gefragtest
geglückt|ADJX	0.0040
gehorsam|ADJX	0.0040	gehorsamster,gehorsamste,gehorsamstes,gehorsames,gehorsamerem,gehorsamst,gehorsameren,gehorsame,gehorsameres,gehorsamerer,gehorsamere,gehorsamstem,gehorsamer,gehorsamem,gehorsamsten,gehorsamen
gehörig|ADJX	0.0040	gehörigere,gehörigem,gehörigen,gehörigst,gehörigstes,gehörigster,gehörigsten,gehörigerer,gehörigste,gehörige,gehörigeres,gehörigstem,gehörigerem,gehöriges,gehöriger,gehörigeren
geil|ADJX	0.0040	geilerer,geiles,geiler,geilen,geilst,geilem,geileres,geilster,geileren,geilstem,geilsten,geilerem,geilste,geilstes,geilere,geile
gelassen|ADJX	0.2325	gelassener,gelasseneren,gelassneres,gelassnerer,gelassenerem,gelassenes,gelassenerer,gelasseneres,gelassneren,gelassnerem,gelassenste,gelassenen,gelassenst,gelassenem,gelassenstem,gelassensten,gelassnere,gelassner,gelassene,gelassenere,gelassenster,gelassenstes
geliebt|ADJX	0.2315	geliebtestes,geliebte,geliebtestem,geliebtesten,geliebtester,geliebtere,geliebteste,geliebten,geliebtem,geliebteren,geliebtes,geliebter,geliebterem,geliebteres,geliebterer,geliebtest
gelohnt|ADJX	0.5859
gelungen|ADJX	1.0	gelungnerem,gelungenster,gelungneren,gelungensten,gelungeneren,gelungenerem,gelungenstem,gelungneres,gelungene,gelungnerer,gelungenst,gelungenstes,gelungenere,gelungenen,gelungenste,gelungenem,gelungener,gelungenes,gelungenerer,gelungnere,gelungeneres,gelungner
gemeinsam|ADJX	0.0040	gemeinsamere,gemeinsamstem,gemeinsamsten,gemeinsamen,gemeinsamem,gemeinsames,gemeinsamstes,gemeinsame,gemeinsamster,gemeinsamer,gemeinsamste,gemeinsamst,gemeinsamerem,gemeinsameren,gemeinsameres,gemeinsamerer
gemeinschaftlich|ADJX	0.0040	gemeinschaftlichem,gemeinschaftlichen,gemeinschaftlichstem,gemeinschaftlichsten,gemeinschaftlichste,gemeinschaftlichst,gemeinschaftliches,gemeinschaftlicherer,gemeinschaftlicher,gemeinschaftlicheres,gemeinschaftliche,gemeinschaftlicherem,gemeinschaftlicheren,gemeinschaftlichere,gemeinschaftlichstes,gemeinschaftlichster
gemütlich|ADJX	0.368	gemütlicherer,gemütliche,gemütlichere,gemütlicheres,gemütlicherem,gemütlicheren,gemütlichstes,gemütlichster,gemütlichen,gemütlichem,gemütliches,gemütlichstem,gemütlichsten,gemütlicher,gemütlichste,gemütlichst
genau|ADJX	0.0040	genauester,genauestem,genauesten,genaueren,genauem,genauerem,genauen,genaueres,genauerer,genaustes,genaueste,genauster,genauere,genaust,genaustem,genausten,genaue,genaues,genauest,genauer,genauste,genauestes
genehm|ADJX	0.0040	genehmer,genehmerem,genehmst,genehmster,genehmem,genehmstes,genehmen,genehmsten,genehme,genehmes,genehmstem,genehmere,genehmste,genehmeres,genehmerer,genehmeren
genehmigen|VVINF	0.0040	genehmigte,genehmiget,genehmigst,genehmige,genehmigt,genehmigten,genehmigtet,genehmigest,genehmig,genehmigtest
genesen|VVINF	0.0040
genial|ADJX	0.2156	genialster,genialstes,geniale,geniales,genialer,genialste,genialeren,genialem,genialst,genialen,genialerem,genialerer,genialeres,genialere,genialsten,genialstem
genießbar|ADJX	0.0040	genießbare,genießbarer,genießbarstem,genießbarsten,genießbares,genießbarste,genießbarem,genießbarerer,genießbaren,genießbareres,genießbarster,genießbarstes,genießbareren,genießbarerem,genießbarere,genießbarst
genießen|VVINF	0.4983
genügend|ADJX	0.1019
geordnet|ADJX	0.0936
gepflegt|ADJX	0.3499	gepflegtester,gepflegtestes,gepflegtere,gepflegteste,gepflegterem,gepflegte,gepflegtestem,gepflegtesten,gepflegter,gepflegteres,gepflegterer,gepflegtest,gepflegten,gepflegtem,gepflegteren,gepflegtes
gerecht|ADJX	0.0040	gerechter,gerechtes,gerechteres,gerechterer,gerechtestem,gerechtesten,gerechtere,gerechteren,gerechterem,gerechtester,gerechtestes,gerechtem,gerechten,gerechte,gerechtest,gerechteste
gerechtfertigt|ADJX	0.0040	gerechtfertigtem,gerechtfertigteren,gerechtfertigtst,gerechtfertigterem,gerechtfertigtere,gerechtfertigtster,gerechtfertigtstes,gerechtfertigtstem,gerechtfertigtsten,gerechtfertigtste,gerechtfertigteres,gerechtfertigtes,gerechtfertigter,gerechtfertigte,gerechtfertigterer,gerechtfertigten
geruhsam|ADJX	0.0769	geruhsamer,geruhsamerem,geruhsamste,geruhsamster,geruhsamere,geruhsamstes,geruhsameren,geruhsames,geruhsamen,geruhsamst,geruhsamem,geruhsamstem,geruhsamsten,geruhsame,geruhsamerer,geruhsameres
geräumig|ADJX	0.1008	geräumiger,geräumigeres,geräumigstem,geräumigerer,geräumigste,geräumige,geräumiges,geräumigere,geräumigst,geräumigsten,geräumigeren,geräumigen,geräumigem,geräumigerem,geräumigster,geräumigstes
gerührt|ADJX	0.446	gerührten,gerührtere,gerührtem,gerührter,gerührteste,gerührtesten,gerührtestem,gerührte,gerührteres,gerührterer,gerührtestes,gerührtest,gerührtester,gerührteren,gerührterem,gerührtes
geschickt|ADJX	0.0040	geschicktest,geschickter,geschickterer,geschicktes,geschickteren,geschickterem,geschickte,geschicktester,geschicktestes,geschickten,geschickteste,geschicktestem,geschicktesten,geschicktem,geschicktere,geschickteres
geschmackvoll|ADJX	0.2116	geschmackvollere,geschmackvollst,geschmackvolleren,geschmackvolles,geschmackvoller,geschmackvollerem,geschmackvollen,geschmackvollster,geschmackvollste,geschmackvollem,geschmackvollstes,geschmackvolle,geschmackvollsten,geschmackvollerer,geschmackvollstem,geschmackvolleres
geschäftig|ADJX	0.0040	geschäftige,geschäftigeren,geschäftiges,geschäftigste,geschäftiger,geschäftigerem,geschäftigst,geschäftigstem,geschäftigstes,geschäftigster,geschäftigsten,geschäftigere,geschäftigem,geschäftigerer,geschäftigen,geschäftigeres
geschätzt|ADJX	0.0040	geschätztestes,geschätztest,geschätztem,geschätzten,geschätztes,geschätzte,geschätzter,geschätzteste,geschätztester,geschätzterer,geschätzteres,geschätztesten,geschätzteren,geschätztestem,geschätztere,geschätzterem
gesteigert|ADJX	0.0040
gestiegen|ADJX	0.0040
gesund|ADJX	0.1554	gesunderen,gesundem,gesünderen,gesunden,gesünderem,gesunderem,gesünderer,gesünderes,gesünder,gesundestes,gesündeste,gesundester,gesundere,gesundesten,gesundestem,gesündestes,gesündester,gesündesten,gesunderes,gesündestem,gesunderer,gesunde,gesundest,gesündest,gesündere,gesundes,gesunder,gesundeste
getreu|ADJX	0.0040	getreuestem,getreuesten,getreuen,getreuerer,getreuem,getreueres,getreusten,getreuester,getreuerem,getreustem,getreueren,getreuest,getreustes,getreust,getreuster,getreuestes,getreuste,getreues,getreuer,getreuere,getreue,getreueste
gewachsen|ADJX	0.1201
gewaltfrei|ADJX	0.0040	gewaltfreistes,gewaltfreister,gewaltfreie,gewaltfreistem,gewaltfreisten,gewaltfreier,gewaltfreies,gewaltfreiem,gewaltfreien,gewaltfreist,gewaltfreiere,gewaltfreiste,gewaltfreierer,gewaltfreieres,gewaltfreierem,gewaltfreieren
gewaltig|ADJX	0.0040	gewaltiger,gewaltigeren,gewaltigerem,gewaltiges,gewaltigste,gewaltigstem,gewaltige,gewaltigsten,gewaltigstes,gewaltigem,gewaltigeres,gewaltigster,gewaltigen,gewaltigerer,gewaltigst,gewaltigere
gewichtig|ADJX	0.0040	gewichtige,gewichtigeren,gewichtigerem,gewichtigerer,gewichtigeres,gewichtiges,gewichtiger,gewichtigster,gewichtigstes,gewichtigere,gewichtigst,gewichtigste,gewichtigen,gewichtigsten,gewichtigem,gewichtigstem
gewinnbringend|ADJX	0.0040	gewinnbringenderem,gewinnbringenderen,gewinnbringendst,gewinnbringende,gewinnbringendstes,gewinnbringenden,gewinnbringendster,gewinnbringendem,gewinnbringenderes,gewinnbringender,gewinnbringenderer,gewinnbringendes,gewinnbringendsten,gewinnbringendere,gewinnbringendste,gewinnbringendstem
gewinnen|VVINF	0.0040
gewissenhaft|ADJX	0.0040	gewissenhaftestem,gewissenhaftesten,gewissenhaftest,gewissenhafte,gewissenhaftem,gewissenhaften,gewissenhafter,gewissenhafteren,gewissenhafterem,gewissenhaftes,gewissenhaftester,gewissenhafteres,gewissenhafterer,gewissenhaftere,gewissenhaftestes,gewissenhafteste
gewährleisten|VVINF	0.0040
gewünscht|ADJX	0.0040	gewünschteren,gewünschterem,gewünschteste,gewünschtere,gewünschtest,gewünschten,gewünschtes,gewünschter,gewünschteres,gewünschtester,gewünschterer,gewünschtestes,gewünschte,gewünschtem,gewünschtesten,gewünschtestem
gezielt|ADJX	0.0040	gezieltstem,gezieltsten,gezieltere,gezieltster,gezieltstes,gezielteres,gezielterer,gezielte,gezieltes,gezielter,gezielterem,gezieltste,gezieltem,gezieltst,gezielten,gezielteren
gigantisch|ADJX	0.5459	gigantischer,gigantisches,gigantischen,gigantischst,gigantischem,gigantischere,gigantischstem,gigantischsten,gigantischster,gigantischeres,gigantischstes,gigantischste,gigantische,gigantischerer,gigantischerem,gigantischeren
glamourös|ADJX	0.0040	glamouröse,glamouröser,glamourösere,glamouröses,glamourösen,glamourösem,glamourösest,glamouröserem,glamouröseren,glamourösester,glamouröseres,glamouröserer,glamourösestes,glamouröseste,glamourösesten,glamourösestem
glanzvoll|ADJX	0.0040	glanzvollster,glanzvollst,glanzvollerem,glanzvollstem,glanzvollsten,glanzvolleren,glanzvolles,glanzvoller,glanzvollerer,glanzvollere,glanzvolleres,glanzvollen,glanzvollem,glanzvollste,glanzvolle,glanzvollstes
glasklar|ADJX	0.0040	glasklarere,glasklarerer,glasklare,glasklarste,glasklareres,glasklarstes,glasklareren,glasklarerem,glasklarst,glasklarer,glasklarstem,glasklarsten,glasklares,glasklarem,glasklaren,glasklarster
glatt|ADJX	0.1099	glatterer,glatteres,glatteren,glatterem,glattere,glattester,glattesten,glatten,glattem,glattestem,glatte,glattes,glatter,glattest,glattestes,glatteste
glaubwürdig|ADJX	0.0893	glaubwürdigerem,glaubwürdigeren,glaubwürdigeres,glaubwürdigerer,glaubwürdigste,glaubwürdige,glaubwürdigst,glaubwürdigstem,glaubwürdiges,glaubwürdiger,glaubwürdigstes,glaubwürdigen,glaubwürdigster,glaubwürdigem,glaubwürdigsten,glaubwürdigere
gleichstellen|VVINF	0.0040	gleichstellt,gleichstelle,gleichgestellt,gleichstellet,gleichstellten,gleichstellest,gleichstelltet,gleichstellst,gleichstell,gleichstelltest,gleichstellte
gleichwertig|ADJX	0.0040	gleichwertigsten,gleichwertigstem,gleichwertigster,gleichwertigstes,gleichwertige,gleichwertigerer,gleichwertigeres,gleichwertigerem,gleichwertigeren,gleichwertigere,gleichwertigem,gleichwertigen,gleichwertigst,gleichwertiger,gleichwertiges,gleichwertigste
glorios|ADJX	0.0040	glorioserer,glorioserem,gloriosere,glorioseren,gloriosester,gloriosestes,gloriosen,gloriosestem,gloriosesten,gloriosem,gloriose,glorioser,gloriosest,glorioses,glorioseste,glorioseres
glorreich|ADJX	0.0040	glorreichere,glorreichste,glorreichsten,glorreichstem,glorreicher,glorreiches,glorreicheres,glorreichster,glorreichen,glorreichst,glorreichstes,glorreicherer,glorreichem,glorreicherem,glorreicheren,glorreiche
glänzen|VVINF	0.3397	glänzten,glänzte,glänzt,glänze,glänz,geglänzt,glänztest,glänztet,glänzest,glänzet
glänzend|ADJX	0.2082	glänzenderer,glänzenderes,glänzende,glänzenden,glänzendst,glänzendem,glänzender,glänzenderen,glänzenderem,glänzendes,glänzendere,glänzendster,glänzendstes,glänzendste,glänzendsten,glänzendstem
glücklich|ADJX	0.115	glücklichsten,glücklichere,glücklichstem,glücklichster,glückliche,glücklichem,glücklichen,glücklichst,glückliches,glücklicher,glücklicheren,glücklicherem,glücklichste,glücklichstes,glücklicherer,glücklicheres
glühend|ADJX	0.0040
gnädig|ADJX	0.0040	gnädigstes,gnädigere,gnädigste,gnädigster,gnädiges,gnädiger,gnädigerer,gnädigeren,gnädigerem,gnädigst,gnädigeres,gnädige,gnädigem,gnädigen,gnädigstem,gnädigsten
golden|ADJX	0.0040	goldenere,goldeneren,goldenerem,goldenen,goldenem,goldener,goldenes,goldene,goldenster,goldnerem,goldneren,goldensten,goldenstem,goldnerer,goldner,goldneres,goldenerer,goldenst,goldnere,goldenste,goldenstes,goldeneres
goldig|ADJX	0.1991	goldigster,goldigeres,goldigstes,goldigerer,goldigsten,goldigste,goldigerem,goldigstem,goldigst,goldigeren,goldige,goldigen,goldigem,goldigere,goldiger,goldiges
grandios|ADJX	0.1843	grandiosester,grandiosestes,grandiosest,grandioser,grandiose,grandioses,grandiosen,grandioseste,grandiosem,grandiosere,grandioserer,grandioseres,grandiosesten,grandiosestem,grandioserem,grandioseren
gratulieren|VVINF	0.065
gravierend|ADJX	0.0040	gravierendstem,gravierendsten,gravierenderes,gravierenden,gravierendem,gravierendes,gravierender,gravierendstes,gravierenderer,gravierendster,gravierenderem,gravierenderen,gravierende,gravierendst,gravierendste,gravierendere
greifbar|ADJX	0.0886	greifbarste,greifbarere,greifbare,greifbarem,greifbaren,greifbares,greifbarer,greifbarst,greifbarster,greifbarstes,greifbareren,greifbarstem,greifbarsten,greifbarerem,greifbarerer,greifbareres
grenzenlos|ADJX	0.0040	grenzenlose,grenzenlosestem,grenzenloseste,grenzenlosesten,grenzenlosere,grenzenloseres,grenzenloserer,grenzenloseren,grenzenlosem,grenzenloserem,grenzenlosester,grenzenlosen,grenzenlosestes,grenzenlosest,grenzenloser,grenzenloses
groß|ADJX	0.3694	großst,großen,großem,großste,große,großes,großer,großstes,großster,großere,großerer,großsten,großeres,großstem,großerem,großeren
großartig|ADJX	0.4606	großartigster,großartigem,großartigstes,großartigen,großartigste,großartigsten,großartigeren,großartigere,großartigerem,großartigeres,großartigst,großartigerer,großartige,großartigstem,großartiges,großartiger
großspurig|ADJX	0.0040	großspurigerer,großspurigeres,großspurigerem,großspurigeren,großspuriges,großspuriger,großspurigere,großspurigsten,großspurige,großspurigstem,großspurigstes,großspurigem,großspurigste,großspurigster,großspurigen,großspurigst
großzügig|ADJX	0.2077	großzügigstes,großzügigster,großzügigerer,großzügige,großzügigeres,großzügigsten,großzügigere,großzügigstem,großzügiges,großzügiger,großzügigem,großzügigen,großzügigeren,großzügigerem,großzügigste,großzügigst
grundlegend|ADJX	0.0040	grundlegendstem,grundlegendsten,grundlegendst,grundlegendster,grundlegende,grundlegendstes,grundlegenderen,grundlegenderem,grundlegenden,grundlegendem,grundlegenderer,grundlegendste,grundlegendes,grundlegender,grundlegenderes,grundlegendere
grundsätzlich|ADJX	0.0040	grundsätzliches,grundsätzlicher,grundsätzlichere,grundsätzlichem,grundsätzlichen,grundsätzlicherer,grundsätzlicheres,grundsätzlichst,grundsätzlichste,grundsätzlichsten,grundsätzlichstem,grundsätzlicheren,grundsätzlicherem,grundsätzlichster,grundsätzlichstes,grundsätzliche
größtmöglich|ADJX	0.0040	größtmöglichstes,größtmöglichste,größtmöglichster,größtmögliche,größtmöglichstem,größtmöglichsten,größtmöglichere,größtmöglicheren,größtmöglicherem,größtmöglicherer,größtmöglicher,größtmöglicheres,größtmögliches,größtmöglichem,größtmöglichst,größtmöglichen
gründlich|ADJX	0.0040	gründlichere,gründlichstes,gründlichsten,gründlichst,gründlichstem,gründliche,gründlichster,gründlicherem,gründlicheren,gründlichen,gründlichem,gründlicherer,gründliches,gründlicher,gründlicheres,gründlichste
gut|ADJX	0.3716	gutere,guten,gutem,gutst,gutstem,guteres,guterer,gutster,gutstes,gute,guteren,gutsten,guterem,gutste,gutes,guter
gutgehend|ADJX	0.0040	gutgehende,gutgehenden,gutgehenderes,gutgehendem,gutgehenderer,gutgehendes,gutgehender,gutgehendst,gutgehendste,gutgehendsten,gutgehendere,gutgehendstem,gutgehendstes,gutgehendster,gutgehenderem,gutgehenderen
gönnen|VVINF	0.3387	gönntet,gönnst,gegönnt,gönnte,gönnt,gönnest,gönne,gönntest,gönnten,gönnet,gönn
göttlich|ADJX	0.0040	göttliche,göttlichem,göttlichstes,göttlichen,göttlichere,göttliches,göttlicher,göttlichste,göttlicheren,göttlicherem,göttlichsten,göttlichst,göttlicheres,göttlichstem,göttlicherer,göttlichster
gültig|ADJX	0.0040	gültige,gültigerer,gültigeres,gültigeren,gültigst,gültigerem,gültigstem,gültigsten,gültigere,gültiger,gültiges,gültigen,gültigster,gültigem,gültigstes,gültigste
günstig|ADJX	0.0946	günstigen,günstige,günstigem,günstigeren,günstigere,günstigerem,günstiger,günstigste,günstiges,günstigster,günstigstes,günstigst,günstigstem,günstigsten,günstigerer,günstigeres
gütig|ADJX	0.0040	gütigerer,gütigerem,gütigeren,gütigeres,gütigst,gütigstem,gütigsten,gütigen,gütigem,gütiges,gütigster,gütiger,gütigste,gütigstes,gütigere,gütige
